Any,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,total_locals,n_buits,n_comerc,n_serveis,n_reforma,pct_buits,pct_comerc,pct_serveis
2016,1,el Raval,1,Ciutat Vella,2355,0,1189,952,0,0,50.48832271762208,40.42462845010616
2016,2,el Barri Gòtic,1,Ciutat Vella,1802,0,1005,710,0,0,55.77136514983352,39.400665926748054
2016,3,la Barceloneta,1,Ciutat Vella,545,0,187,325,0,0,34.31192660550459,59.63302752293578
2016,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,1520,0,769,641,0,0,50.59210526315789,42.171052631578945
2016,5,el Fort Pienc,2,Eixample,1335,0,347,637,0,0,25.99250936329588,47.71535580524345
2016,6,la Sagrada Família,2,Eixample,2299,0,915,1215,0,0,39.79991300565463,52.8490648107873
2016,7,la Dreta de l'Eixample,2,Eixample,3944,0,1632,2077,0,0,41.37931034482759,52.66227180527383
2016,8,l'Antiga Esquerra de l'Eixample,2,Eixample,2779,0,974,1628,0,0,35.04857862540482,58.58222382151853
2016,9,la Nova Esquerra de l'Eixample,2,Eixample,2081,0,717,1244,0,0,34.454589139836614,59.77895242671792
2016,10,Sant Antoni,2,Eixample,1930,0,876,919,0,0,45.388601036269435,47.61658031088083
2016,11,el Poble Sec,3,Sants-Montjuïc,1108,0,287,691,0,0,25.902527075812277,62.36462093862816
2016,12,la Marina del Prat Vermell,3,Sants-Montjuïc,188,0,27,94,0,0,14.361702127659576,50
2016,13,la Marina de Port,3,Sants-Montjuïc,558,0,211,292,0,0,37.81362007168459,52.32974910394266
2016,14,la Font de la Guatlla,3,Sants-Montjuïc,189,0,52,111,0,0,27.513227513227513,58.730158730158735
2016,15,Hostafrancs,3,Sants-Montjuïc,807,0,318,394,0,0,39.405204460966544,48.822800495662946
2016,16,la Bordeta,3,Sants-Montjuïc,400,0,122,218,0,0,30.5,54.50000000000001
2016,17,Sants  Badal,3,Sants-Montjuïc,661,0,246,359,0,0,37.21633888048411,54.311649016641454
2016,18,Sants,3,Sants-Montjuïc,1602,0,575,864,0,0,35.892634207240945,53.93258426966292
2016,19,les Corts,4,les Corts,1956,0,683,1129,0,0,34.918200408997954,57.71983640081799
2016,20,la Maternitat i Sant Ramon,4,les Corts,655,0,165,415,0,0,25.190839694656486,63.358778625954194
2016,21,Pedralbes,4,les Corts,251,0,57,160,0,0,22.709163346613543,63.745019920318725
2016,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,50,0,13,32,0,0,26,64
2016,23,Sarrià,5,Sarrià-Sant Gervasi,863,0,340,451,0,0,39.39745075318656,52.259559675550406
2016,24,les Tres Torres,5,Sarrià-Sant Gervasi,399,0,101,265,0,0,25.31328320802005,66.41604010025063
2016,25,Sant Gervasi  la Bonanova,5,Sarrià-Sant Gervasi,956,0,320,551,0,0,33.47280334728033,57.63598326359832
2016,26,Sant Gervasi  Galvany,5,Sarrià-Sant Gervasi,2615,0,1125,1335,0,0,43.021032504780116,51.05162523900574
2016,27,el Putxet i el Farró,5,Sarrià-Sant Gervasi,888,0,285,537,0,0,32.0945945945946,60.47297297297297
2016,28,Vallcarca i els Penitents,6,Gràcia,368,0,112,220,0,0,30.434782608695656,59.78260869565217
2016,29,el Coll,6,Gràcia,102,0,35,53,0,0,34.31372549019608,51.9607843137255
2016,30,la Salut,6,Gràcia,382,0,158,191,0,0,41.361256544502616,50
2016,31,la Vila de Gràcia,6,Gràcia,3300,0,1353,1602,0,0,41,48.54545454545455
2016,32,el Camp d'en Grassot i Gràcia Nova,6,Gràcia,1299,0,489,668,0,0,37.644341801385686,51.42417244033872
2016,33,el Baix Guinardó,7,Horta-Guinardó,658,0,206,387,0,0,31.30699088145897,58.81458966565349
2016,34,Can Baró,7,Horta-Guinardó,142,0,46,81,0,0,32.3943661971831,57.04225352112676
2016,35,el Guinardó,7,Horta-Guinardó,1040,0,303,615,0,0,29.134615384615387,59.13461538461539
2016,36,la Font d'en Fargues,7,Horta-Guinardó,114,0,15,89,0,0,13.157894736842104,78.0701754385965
2016,37,el Carmel,7,Horta-Guinardó,757,0,323,355,0,0,42.668428005284014,46.895640686922064
2016,38,la Teixonera,7,Horta-Guinardó,206,0,95,82,0,0,46.116504854368934,39.80582524271845
2016,39,Sant Genís dels Agudells,7,Horta-Guinardó,89,0,23,57,0,0,25.842696629213485,64.04494382022472
2016,40,Montbau,7,Horta-Guinardó,98,0,27,53,0,0,27.55102040816326,54.08163265306123
2016,41,la Vall d'Hebron,7,Horta-Guinardó,109,0,19,69,0,0,17.431192660550458,63.30275229357798
2016,42,la Clota,7,Horta-Guinardó,15,0,2,5,0,0,13.333333333333334,33.33333333333333
2016,43,Horta,7,Horta-Guinardó,1115,0,376,630,0,0,33.7219730941704,56.502242152466366
2016,44,Vilapicina i la Torre Llobeta,8,Nou Barris,911,0,282,530,0,0,30.954994511525797,58.17782656421515
2016,45,Porta,8,Nou Barris,773,0,259,420,0,0,33.50582147477361,54.33376455368693
2016,46,el Turó de la Peira,8,Nou Barris,428,0,207,174,0,0,48.36448598130841,40.654205607476634
2016,47,Can Peguera,8,Nou Barris,21,0,3,13,0,0,14.285714285714285,61.904761904761905
2016,48,la Guineueta,8,Nou Barris,335,0,111,169,0,0,33.134328358208954,50.44776119402985
2016,49,Canyelles,8,Nou Barris,115,0,56,49,0,0,48.69565217391305,42.608695652173914
2016,50,les Roquetes,8,Nou Barris,335,0,159,147,0,0,47.462686567164184,43.88059701492537
2016,51,Verdun,8,Nou Barris,413,0,174,198,0,0,42.13075060532688,47.94188861985472
2016,52,la Prosperitat,8,Nou Barris,773,0,264,418,0,0,34.152652005174645,54.075032341526516
2016,53,la Trinitat Nova,8,Nou Barris,87,0,39,35,0,0,44.827586206896555,40.229885057471265
2016,54,Torre Baró,8,Nou Barris,21,0,4,14,0,0,19.047619047619047,66.66666666666666
2016,55,Ciutat Meridiana,8,Nou Barris,146,0,76,60,0,0,52.054794520547944,41.0958904109589
2016,56,Vallbona,8,Nou Barris,22,0,6,11,0,0,27.27272727272727,50
2016,57,la Trinitat Vella,9,Sant Andreu,166,0,62,83,0,0,37.34939759036144,50
2016,58,Baró de Viver,9,Sant Andreu,40,0,14,17,0,0,35,42.5
2016,59,el Bon Pastor,9,Sant Andreu,686,0,268,249,0,0,39.067055393586,36.29737609329446
2016,60,Sant Andreu,9,Sant Andreu,1692,0,619,857,0,0,36.5839243498818,50.65011820330969
2016,61,la Sagrera,9,Sant Andreu,662,0,255,347,0,0,38.51963746223565,52.416918429003026
2016,62,el Congrés i els Indians,9,Sant Andreu,485,0,135,274,0,0,27.835051546391753,56.49484536082474
2016,63,Navas,9,Sant Andreu,510,0,211,274,0,0,41.37254901960784,53.72549019607843
2016,64,el Camp de l'Arpa del Clot,10,Sant Martí,1243,0,475,666,0,0,38.21399839098954,53.58004827031375
2016,65,el Clot,10,Sant Martí,766,0,309,396,0,0,40.33942558746737,51.697127937336816
2016,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,642,0,129,430,0,0,20.093457943925234,66.97819314641744
2016,67,la Vila Olímpica del Poblenou,10,Sant Martí,399,0,68,299,0,0,17.042606516290725,74.93734335839599
2016,68,el Poblenou,10,Sant Martí,1338,0,432,769,0,0,32.28699551569507,57.473841554559044
2016,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,417,0,160,233,0,0,38.36930455635492,55.875299760191844
2016,70,el Besòs i el Maresme,10,Sant Martí,462,0,206,211,0,0,44.58874458874459,45.67099567099567
2016,71,Provençals del Poblenou,10,Sant Martí,485,0,111,318,0,0,22.88659793814433,65.56701030927834
2016,72,Sant Martí de Provençals,10,Sant Martí,658,0,253,347,0,0,38.44984802431611,52.735562310030396
2016,73,la Verneda i la Pau,10,Sant Martí,704,0,280,362,0,0,39.77272727272727,51.42045454545454
2019,1,el Raval,1,Ciutat Vella,2968,29,1100,1116,27,0.977088948787062,37.06199460916442,37.6010781671159
2019,2,el Barri Gòtic,1,Ciutat Vella,2269,52,961,814,50,2.2917584839136182,42.35345967386514,35.874834728955484
2019,3,la Barceloneta,1,Ciutat Vella,747,11,190,357,4,1.4725568942436411,25.435073627844712,47.791164658634536
2019,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,2182,68,753,803,29,3.1164069660861595,34.5096241979835,36.80109990834097
2019,5,el Fort Pienc,2,Eixample,1401,32,411,640,20,2.2840827980014278,29.336188436830835,45.68165596002855
2019,6,la Sagrada Família,2,Eixample,2515,92,827,1144,39,3.6580516898608346,32.88270377733598,45.487077534791254
2019,7,la Dreta de l'Eixample,2,Eixample,4279,96,1542,2058,67,2.243514839915868,36.03645711614863,48.095349380696426
2019,8,l'Antiga Esquerra de l'Eixample,2,Eixample,2984,68,938,1643,48,2.278820375335121,31.434316353887397,55.06032171581769
2019,9,la Nova Esquerra de l'Eixample,2,Eixample,2511,65,710,1300,25,2.5886101154918357,28.27558741537236,51.77220230983672
2019,10,Sant Antoni,2,Eixample,2224,57,871,964,34,2.5629496402877696,39.163669064748206,43.3453237410072
2019,11,el Poble Sec,3,Sants-Montjuïc,1846,25,281,761,37,1.3542795232936078,15.222101841820152,41.22426868905742
2019,12,la Marina del Prat Vermell,3,Sants-Montjuïc,251,4,26,108,1,1.593625498007968,10.358565737051793,43.02788844621514
