Nom_Barri,cluster
el Raval,1
el Barri Gòtic,1
la Barceloneta,1
"Sant Pere, Santa Caterina i la Ribera",1
el Fort Pienc,1
la Sagrada Família,1
la Dreta de l'Eixample,1
l'Antiga Esquerra de l'Eixample,1
la Nova Esquerra de l'Eixample,1
Sant Antoni,1
el Poble-sec,1
la Marina del Prat Vermell,3
la Marina de Port,2
la Font de la Guatlla,1
Hostafrancs,3
la Bordeta,3
Sants - Badal,3
Sants,3
les Corts,4
la Maternitat i Sant Ramon,3
Pedralbes,4
"Vallvidrera, el Tibidabo i les Planes",4
Sarrià,4
les Tres Torres,4
Sant Gervasi - la Bonanova,1
Sant Gervasi - Galvany,1
el Putxet i el Farró,1
Vallcarca i els Penitents,3
el Coll,3
la Salut,3
la Vila de Gràcia,1
el Camp d'en Grassot i Gràcia Nova,3
el Baix Guinardó,3
Can Baró,3
el Guinardó,3
la Font d'en Fargues,4
el Carmel,2
la Teixonera,3
Sant Genís dels Agudells,3
Montbau,3
la Vall d'Hebron,2
la Clota,4
Horta,3
Vilapicina i la Torre Llobeta,2
Porta,2
el Turó de la Peira,2
Can Peguera,2
la Guineueta,2
Canyelles,2
les Roquetes,2
Verdun,2
la Prosperitat,2
la Trinitat Nova,2
Torre Baró,2
Ciutat Meridiana,2
Vallbona,2
la Trinitat Vella,2
Baró de Viver,2
el Bon Pastor,2
Sant Andreu,2
la Sagrera,3
el Congrés i els Indians,3
Navas,3
el Camp de l'Arpa del Clot,1
el Clot,3
el Parc i la Llacuna del Poblenou,4
la Vila Olímpica del Poblenou,4
el Poblenou,1
Diagonal Mar i el Front Marítim del Poblenou,4
el Besòs i el Maresme,3
Provençals del Poblenou,3
Sant Martí de Provençals,3
la Verneda i la Pau,3
