Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,total,n_edu_baixa,n_edu_mitja,n_edu_alta,pct_edu_baixa,pct_edu_mitja,pct_edu_alta
2014,1,Ciutat Vella,1,el Raval,40383,15724,16149,8510,0.38937176534680434,0.3998959958398336,0.21073223881336206
2014,1,Ciutat Vella,2,el Barri Gòtic,14173,3189,5995,4989,0.22500529175192266,0.4229873703520779,0.3520073378959994
2014,1,Ciutat Vella,3,la Barceloneta,13417,4274,6147,2996,0.3185510918983379,0.45815010807184914,0.22329880002981292
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19782,4739,7993,7050,0.23956121726822363,0.4040541906783945,0.35638459205338185
2014,2,Eixample,5,el Fort Pienc,27269,4758,12892,9619,0.17448384612563717,0.472771278741428,0.35274487513293484
2014,2,Eixample,6,la Sagrada Família,45192,8785,21510,14897,0.19439281288723667,0.4759691980881572,0.3296379890246061
2014,2,Eixample,7,la Dreta de l'Eixample,37406,4092,15439,17875,0.10939421483184515,0.4127412714537775,0.4778645137143774
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,36487,4654,15860,15973,0.1275522788938526,0.4346753638282128,0.4377723572779346
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,50545,8001,23129,19415,0.15829458898011672,0.45759224453457314,0.38411316648531013
2014,2,Eixample,10,Sant Antoni,33493,7028,15672,10793,0.20983489087271967,0.4679186695727465,0.3222464395545338
2014,3,Sants-Montjuïc,11,el Poble-sec,34766,11030,15929,7807,0.3172639935569234,0.4581775297704654,0.22455847667261117
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,948,501,406,41,0.5284810126582279,0.4282700421940928,0.043248945147679324
2014,3,Sants-Montjuïc,13,la Marina de Port,24861,8689,12812,3360,0.34950323800329836,0.5153453199790837,0.13515144201761795
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,9000,2237,4334,2429,0.24855555555555556,0.48155555555555557,0.2698888888888889
2014,3,Sants-Montjuïc,15,Hostafrancs,13689,3670,6513,3506,0.26809847322667835,0.4757834757834758,0.25611805098984586
2014,3,Sants-Montjuïc,16,la Bordeta,15973,4393,8275,3305,0.27502660739998747,0.518061729167971,0.20691166343204156
2014,3,Sants-Montjuïc,17,Sants - Badal,21035,6110,10195,4730,0.290468267173758,0.4846684097932018,0.22486332303304016
2014,3,Sants-Montjuïc,18,Sants,35592,8593,16906,10093,0.24143065857496065,0.4749943807597213,0.28357496066531807
2014,4,Les Corts,19,les Corts,39894,5954,18271,15669,0.1492455005765278,0.4579886699754349,0.3927658294480373
2014,4,Les Corts,20,la Maternitat i Sant Ramon,20388,3745,9391,7252,0.18368648224445752,0.46061408671767706,0.3556994310378654
2014,4,Les Corts,21,Pedralbes,9552,658,4062,4832,0.06888609715242881,0.42525125628140703,0.5058626465661642
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",3527,449,1654,1424,0.12730365749929118,0.4689537850864758,0.40374255741423304
2014,5,Sarrià-Sant Gervasi,23,Sarrià,19453,1726,8156,9571,0.08872667454891277,0.4192669511129389,0.49200637433814837
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,12897,687,5562,6648,0.05326820190742033,0.43126308443824146,0.5154687136543382
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,20768,1730,9230,9808,0.08330123266563945,0.4444337442218798,0.47226502311248075
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,38464,2693,16694,19077,0.07001351913477537,0.4340162229617304,0.4959702579034942
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,24222,1989,10782,11451,0.08211543225167203,0.4451325241515977,0.47275204359673023
2014,6,Gràcia,28,Vallcarca i els Penitents,13073,1993,6212,4868,0.15245161783829267,0.4751778474718886,0.37237053468981873
2014,6,Gràcia,29,el Coll,6100,1315,3114,1671,0.2155737704918033,0.5104918032786885,0.2739344262295082
2014,6,Gràcia,30,la Salut,11315,1682,5353,4280,0.14865223155103843,0.47308882015024306,0.37825894829871853
2014,6,Gràcia,31,la Vila de Gràcia,44072,7521,18836,17715,0.17065256852423308,0.42739154111453986,0.4019558903612271
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,29666,4779,13916,10971,0.16109350771927458,0.4690891930155734,0.369817299265152
2014,7,Horta-Guinardó,33,el Baix Guinardó,22358,4757,11166,6435,0.21276500581447358,0.4994185526433491,0.2878164415421773
2014,7,Horta-Guinardó,34,Can Baró,7581,2019,3763,1799,0.2663237039968342,0.4963725102229257,0.23730378578024008
2014,7,Horta-Guinardó,35,el Guinardó,30567,6696,15822,8049,0.21905977034056334,0.5176170379821377,0.26332319167729906
2014,7,Horta-Guinardó,36,la Font d'en Fargues,7921,1523,4112,2286,0.1922737028153011,0.5191263729327105,0.2885999242519884
2014,7,Horta-Guinardó,37,el Carmel,26656,9753,13975,2928,0.36588385354141656,0.5242722088835534,0.10984393757503001
2014,7,Horta-Guinardó,38,la Teixonera,9726,3219,5122,1385,0.3309685379395435,0.5266296524778943,0.1424018095825622
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,5884,1916,2950,1018,0.3256288239292998,0.5013596193065941,0.17301155676410604
2014,7,Horta-Guinardó,40,Montbau,4367,1298,2107,962,0.2972292191435768,0.4824822532631097,0.2202885275933135
2014,7,Horta-Guinardó,41,la Vall d'Hebron,4711,1102,2299,1310,0.233920611335173,0.4880067926130333,0.2780725960517937
2014,7,Horta-Guinardó,42,la Clota,440,137,203,100,0.31136363636363634,0.46136363636363636,0.22727272727272727
2014,7,Horta-Guinardó,43,Horta,22845,6724,11399,4722,0.29433136353687894,0.49897132851827536,0.2066973079448457
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,21824,6013,11351,4460,0.2755223607038123,0.5201154692082112,0.20436217008797655
2014,8,Nou Barris,45,Porta,21013,7221,10640,3152,0.3436444106029601,0.50635320991767,0.15000237947936992
2014,8,Nou Barris,46,el Turó de la Peira,12987,4916,6456,1615,0.37853237853237853,0.4971124971124971,0.12435512435512436
2014,8,Nou Barris,47,Can Peguera,1875,780,943,152,0.416,0.5029333333333333,0.08106666666666666
