Any,Codi_barri,Nom_barri,total_habitatges
2018,1,el Raval,23112
2018,2,el Gòtic,10332
2018,3,la Barceloneta,9160
2018,4,"Sant Pere, Santa Caterina i la Ribera",14439
2018,5,el Fort Pienc,15135
2018,6,la Sagrada Família,26509
2018,7,la Dreta de l'Eixample,25214
2018,8,l'Antiga Esquerra de l'Eixample,23441
2018,9,la Nova Esquerra de l'Eixample,29721
2018,10,Sant Antoni,19484
2018,11,el Poble-sec,18520
2018,12,la Marina del Prat Vermell,776
2018,13,la Marina de Port,13315
2018,14,la Font de la Guatlla,4909
2018,15,Hostafrancs,8005
2018,16,la Bordeta,8838
2018,17,Sants - Badal,11718
2018,18,Sants,20987
2018,19,les Corts,23062
2018,20,la Maternitat i Sant Ramon,11652
2018,21,Pedralbes,6102
2018,22,"Vallvidrera, el Tibidabo i les Planes",3034
2018,23,Sarrià,12609
2018,24,les Tres Torres,7024
2018,25,Sant Gervasi - la Bonanova,12618
2018,26,Sant Gervasi - Galvany,24984
2018,27,el Putget i Farró,16281
2018,28,Vallcarca i els Penitents,8973
2018,29,el Coll,3930
2018,30,la Salut,6858
2018,31,Vila de Gràcia,30747
2018,32,el Camp d'en Grassot i Gràcia Nova,18317
2018,33,el Baix Guinardó,12474
2018,34,Can Baró,4821
2018,35,el Guinardó,18761
2018,36,la Font d'en Fargues,5324
2018,37,el Carmel,15481
2018,38,la Teixonera,5966
2018,39,Sant Genís dels Agudells,3509
2018,40,Montbau,2562
2018,41,la Vall d'Hebron,2654
2018,42,la Clota,417
2018,43,Horta,13472
2018,44,Vilapicina i la Torre Llobeta,12241
2018,45,Porta,11476
2018,46,el Turó de la Peira,6956
2018,47,Can Peguera,1047
2018,48,la Guineueta,6801
2018,49,Canyelles,2919
2018,50,les Roquetes,7084
2018,51,Verdun,5913
2018,52,la Prosperitat,12171
2018,53,la Trinitat Nova,3584
2018,54,Torre Baró,1701
2018,55,Ciutat Meridiana,3957
2018,56,Vallbona,845
2018,57,la Trinitat Vella,4194
2018,58,Baró de Viver,1112
2018,59,el Bon Pastor,5333
2018,60,Sant Andreu,29096
2018,61,la Sagrera,13488
2018,62,el Congrés i els Indians,7031
2018,63,Navas,10275
2018,64,Camp de l'Arpa del Clot,19870
2018,65,el Clot,12414
2018,66,el Parc i la Llacuna del Poblenou,7083
2018,67,la Vila Olímpica del Poblenou,4653
2018,68,el Poblenou,16436
2018,69,Diagonal Mar i el Front Marítim del Poblenou,6298
2018,70,el Besòs i el Maresme,9645
2018,71,Provençals del Poblenou,9194
2018,72,Sant Martí de Provençals,11692
2018,73,la Verneda i la Pau,13063
2019,1,el Raval,23112
2019,2,el Gòtic,10332
2019,3,la Barceloneta,9160
