Any,Nom_Districte,Nom_Barri,n_llicencies,total_habitatges,pct_hut
2018,CIUTAT VELLA,Sant Pere Santa Caterina i la Ribera,168,0,NA
2018,CIUTAT VELLA,el Barri Gòtic,194,0,NA
2018,CIUTAT VELLA,el Raval,178,23112,0.7701626860505365
2018,CIUTAT VELLA,la Barceloneta,66,9160,0.7205240174672489
2018,GRACIA,Vallcarca i els Penitents,40,8973,0.4457817898138861
2018,GRACIA,el Camp d'en Grassot i Gràcia Nova,227,18317,1.2392859092646176
2018,GRACIA,el Coll,20,3930,0.5089058524173028
2018,GRACIA,la Salut,37,6858,0.5395158938466025
2018,GRACIA,la Vila de Gràcia,753,0,NA
2018,HORTA-GUINARDÓ,Can Baró,20,4821,0.41485169052063886
2018,HORTA-GUINARDÓ,Horta,6,13472,0.04453681710213777
2018,HORTA-GUINARDÓ,Sant Genís dels Agudells,4,3509,0.1139925904816187
2018,HORTA-GUINARDÓ,el Baix Guinardó,106,12474,0.8497675164341831
2018,HORTA-GUINARDÓ,el Carmel,33,15481,0.21316452425553906
2018,HORTA-GUINARDÓ,el Guinardó,70,18761,0.37311443952880974
2018,HORTA-GUINARDÓ,la Font d'en Fargues,4,5324,0.07513148009015778
2018,HORTA-GUINARDÓ,la Teixonera,9,5966,0.15085484411666109
2018,HORTA-GUINARDÓ,la Vall d'Hebron,1,2654,0.037678975131876416
2018,L'EIXAMPLE,Sant Antoni,587,19484,3.0127283925272015
2018,L'EIXAMPLE,el Fort Pienc,331,15135,2.1869838123554675
2018,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,708,23441,3.020348961221791
2018,L'EIXAMPLE,la Dreta de l'Eixample,1664,25214,6.599508209724757
2018,L'EIXAMPLE,la Nova Esquerra de l'Eixample,413,29721,1.3895898522929915
2018,L'EIXAMPLE,la Sagrada Família,768,26509,2.897129276849372
2018,LES CORTS,Pedralbes,11,6102,0.1802687643395608
2018,LES CORTS,la Maternitat i Sant Ramon,46,11652,0.394782011671816
2018,LES CORTS,les Corts,209,23062,0.9062527100858555
2018,NOU BARRIS,Canyelles,1,2919,0.0342583076396026
2018,NOU BARRIS,Porta,2,11476,0.01742767514813524
2018,NOU BARRIS,Verdun,3,5913,0.050735667174023336
2018,NOU BARRIS,Vilapicina i la Torre Llobeta,9,12241,0.07352340495057594
2018,NOU BARRIS,la Guineueta,1,6801,0.014703720041170416
2018,NOU BARRIS,la Prosperitat,3,12171,0.024648755237860486
2018,NOU BARRIS,les Roquetes,2,7084,0.0282326369282891
2018,SANT ANDREU,Navas,17,10275,0.16545012165450124
2018,SANT ANDREU,Sant Andreu,28,29096,0.0962331591971405
2018,SANT ANDREU,el Bon Pastor,1,5333,0.018751171948246766
2018,SANT ANDREU,el Congrés i els Indians,6,7031,0.08533636751528943
2018,SANT ANDREU,la Sagrera,22,13488,0.1631079478054567
2018,SANT ANDREU,la Trinitat Vella,4,4194,0.09537434430138292
2018,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,128,6298,2.0323912353127978
2018,SANT MARTI,Provençals del Poblenou,34,9194,0.36980639547531
2018,SANT MARTI,Sant Martí de Provençals,15,11692,0.12829284981183714
2018,SANT MARTI,el Besòs i el Maresme,32,9645,0.33177812337998963
2018,SANT MARTI,el Camp de l'Arpa del Clot,265,0,NA
2018,SANT MARTI,el Clot,50,12414,0.4027710649266957
2018,SANT MARTI,el Parc i la Llacuna del Poblenou,101,7083,1.4259494564450093
2018,SANT MARTI,el Poblenou,389,16436,2.3667559016792405
2018,SANT MARTI,la Verneda i la Pau,9,13063,0.06889688432978643
2018,SANT MARTI,la Vila Olímpica del Poblenou,108,4653,2.321083172147002
2018,SANTS-MONTJUÏC,Hostafrancs,177,8005,2.2111180512179884
2018,SANTS-MONTJUÏC,Sants,245,20987,1.1673893362557772
2018,SANTS-MONTJUÏC,Sants - Badal,106,11718,0.9045912271718723
2018,SANTS-MONTJUÏC,el Poble-sec,517,18520,2.791576673866091
2018,SANTS-MONTJUÏC,la Bordeta,44,8838,0.4978501923512107
2018,SANTS-MONTJUÏC,la Font de la Guatlla,73,4909,1.4870645752699123
2018,SANTS-MONTJUÏC,la Marina de Port,7,13315,0.05257228689447991
2018,SANTS-MONTJUÏC,la Marina del Prat Vermell,3,776,0.3865979381443299
2018,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,244,24984,0.9766250400256163
2018,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,32,12618,0.2536059597400539
2018,SARRIA-SANT GERVASI,Sarrià,27,12609,0.21413276231263384
2018,SARRIA-SANT GERVASI,Vallvidrera el Tibidabo i les Planes,3,0,NA
2018,SARRIA-SANT GERVASI,el Putxet i el Farró,155,0,NA
2018,SARRIA-SANT GERVASI,les Tres Torres,35,7024,0.49829157175398636
2019,CIUTAT VELLA,Sant Pere Santa Caterina i la Ribera,160,0,NA
2019,CIUTAT VELLA,el Barri Gòtic,193,0,NA
2019,CIUTAT VELLA,el Raval,194,23112,0.8393907926618207
2019,CIUTAT VELLA,la Barceloneta,60,9160,0.6550218340611353
2019,GRACIA,Vallcarca i els Penitents,40,8973,0.4457817898138861
2019,GRACIA,el Camp d'en Grassot i Gràcia Nova,224,18317,1.2229076813888737
2019,GRACIA,el Coll,20,3930,0.5089058524173028
2019,GRACIA,la Salut,37,6869,0.5386519143980201
2019,GRACIA,la Vila de Gràcia,752,0,NA
2019,HORTA-GUINARDÓ,Can Baró,20,4826,0.4144218814753419
2019,HORTA-GUINARDÓ,Horta,6,13472,0.04453681710213777
2019,HORTA-GUINARDÓ,Sant Genís dels Agudells,3,3509,0.08549444286121402
2019,HORTA-GUINARDÓ,el Baix Guinardó,106,12475,0.8496993987975953
2019,HORTA-GUINARDÓ,el Carmel,33,15481,0.21316452425553906
2019,HORTA-GUINARDÓ,el Guinardó,70,18761,0.37311443952880974
2019,HORTA-GUINARDÓ,la Font d'en Fargues,4,5329,0.07506098705197974
2019,HORTA-GUINARDÓ,la Teixonera,9,5966,0.15085484411666109
2019,HORTA-GUINARDÓ,la Vall d'Hebron,1,2654,0.037678975131876416
2019,L'EIXAMPLE,Sant Antoni,586,19484,3.007595976185588
2019,L'EIXAMPLE,el Fort Pienc,332,15136,2.193446088794926
2019,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,710,23450,3.0277185501066097
2019,L'EIXAMPLE,la Dreta de l'Eixample,1660,25215,6.583382906999802
2019,L'EIXAMPLE,la Nova Esquerra de l'Eixample,413,29721,1.3895898522929915
2019,L'EIXAMPLE,la Sagrada Família,768,26509,2.897129276849372
2019,LES CORTS,Pedralbes,11,6102,0.1802687643395608
2019,LES CORTS,la Maternitat i Sant Ramon,46,11654,0.394714261197872
2019,LES CORTS,les Corts,208,23062,0.9019165727170236
2019,NOU BARRIS,Canyelles,1,2919,0.0342583076396026
2019,NOU BARRIS,Porta,10,11488,0.08704735376044569
2019,NOU BARRIS,Verdun,3,5913,0.050735667174023336
2019,NOU BARRIS,Vilapicina i la Torre Llobeta,9,12241,0.07352340495057594
2019,NOU BARRIS,la Guineueta,1,6801,0.014703720041170416
2019,NOU BARRIS,la Prosperitat,3,12171,0.024648755237860486
2019,NOU BARRIS,les Roquetes,2,7084,0.0282326369282891
2019,SANT ANDREU,Navas,17,10275,0.16545012165450124
2019,SANT ANDREU,Sant Andreu,28,29120,0.09615384615384616
2019,SANT ANDREU,el Bon Pastor,1,5333,0.018751171948246766
2019,SANT ANDREU,el Congrés i els Indians,6,7031,0.08533636751528943
2019,SANT ANDREU,la Sagrera,22,13488,0.1631079478054567
2019,SANT ANDREU,la Trinitat Vella,4,4194,0.09537434430138292
2019,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,128,6298,2.0323912353127978
2019,SANT MARTI,Provençals del Poblenou,34,9194,0.36980639547531
2019,SANT MARTI,Sant Martí de Provençals,15,11692,0.12829284981183714
2019,SANT MARTI,el Besòs i el Maresme,32,9645,0.33177812337998963
