Any,Nom_Districte,Nom_Barri,n_llicencies
2018,CIUTAT VELLA,Sant Pere Santa Caterina i la Ribera,168
2018,CIUTAT VELLA,el Barri Gòtic,194
2018,CIUTAT VELLA,el Raval,178
2018,CIUTAT VELLA,la Barceloneta,66
2018,GRACIA,Vallcarca i els Penitents,40
2018,GRACIA,el Camp d'en Grassot i Gràcia Nova,227
2018,GRACIA,el Coll,20
2018,GRACIA,la Salut,37
2018,GRACIA,la Vila de Gràcia,753
2018,HORTA-GUINARDÓ,Can Baró,20
2018,HORTA-GUINARDÓ,Horta,6
2018,HORTA-GUINARDÓ,Sant Genís dels Agudells,4
2018,HORTA-GUINARDÓ,el Baix Guinardó,106
2018,HORTA-GUINARDÓ,el Carmel,33
2018,HORTA-GUINARDÓ,el Guinardó,70
2018,HORTA-GUINARDÓ,la Font d'en Fargues,4
2018,HORTA-GUINARDÓ,la Teixonera,9
2018,HORTA-GUINARDÓ,la Vall d'Hebron,1
2018,L'EIXAMPLE,Sant Antoni,587
2018,L'EIXAMPLE,el Fort Pienc,331
2018,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,708
2018,L'EIXAMPLE,la Dreta de l'Eixample,1664
2018,L'EIXAMPLE,la Nova Esquerra de l'Eixample,413
2018,L'EIXAMPLE,la Sagrada Família,768
2018,LES CORTS,Pedralbes,11
2018,LES CORTS,la Maternitat i Sant Ramon,46
2018,LES CORTS,les Corts,209
2018,NOU BARRIS,Canyelles,1
2018,NOU BARRIS,Porta,2
2018,NOU BARRIS,Verdun,3
2018,NOU BARRIS,Vilapicina i la Torre Llobeta,9
2018,NOU BARRIS,la Guineueta,1
2018,NOU BARRIS,la Prosperitat,3
2018,NOU BARRIS,les Roquetes,2
2018,SANT ANDREU,Navas,17
2018,SANT ANDREU,Sant Andreu,28
2018,SANT ANDREU,el Bon Pastor,1
2018,SANT ANDREU,el Congrés i els Indians,6
2018,SANT ANDREU,la Sagrera,22
2018,SANT ANDREU,la Trinitat Vella,4
2018,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,128
2018,SANT MARTI,Provençals del Poblenou,34
2018,SANT MARTI,Sant Martí de Provençals,15
2018,SANT MARTI,el Besòs i el Maresme,32
2018,SANT MARTI,el Camp de l'Arpa del Clot,265
2018,SANT MARTI,el Clot,50
2018,SANT MARTI,el Parc i la Llacuna del Poblenou,101
2018,SANT MARTI,el Poblenou,389
2018,SANT MARTI,la Verneda i la Pau,9
2018,SANT MARTI,la Vila Olímpica del Poblenou,108
2018,SANTS-MONTJUÏC,Hostafrancs,177
2018,SANTS-MONTJUÏC,Sants,245
2018,SANTS-MONTJUÏC,Sants - Badal,106
2018,SANTS-MONTJUÏC,el Poble-sec,517
2018,SANTS-MONTJUÏC,la Bordeta,44
2018,SANTS-MONTJUÏC,la Font de la Guatlla,73
2018,SANTS-MONTJUÏC,la Marina de Port,7
2018,SANTS-MONTJUÏC,la Marina del Prat Vermell,3
2018,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,244
2018,SARRIA-SANT GERVASI,Sant Gervasi - la Bonanova,32
2018,SARRIA-SANT GERVASI,Sarrià,27
2018,SARRIA-SANT GERVASI,Vallvidrera el Tibidabo i les Planes,3
2018,SARRIA-SANT GERVASI,el Putxet i el Farró,155
2018,SARRIA-SANT GERVASI,les Tres Torres,35
2019,CIUTAT VELLA,Sant Pere Santa Caterina i la Ribera,160
2019,CIUTAT VELLA,el Barri Gòtic,193
2019,CIUTAT VELLA,el Raval,194
2019,CIUTAT VELLA,la Barceloneta,60
2019,GRACIA,Vallcarca i els Penitents,40
2019,GRACIA,el Camp d'en Grassot i Gràcia Nova,224
2019,GRACIA,el Coll,20
2019,GRACIA,la Salut,37
2019,GRACIA,la Vila de Gràcia,752
2019,HORTA-GUINARDÓ,Can Baró,20
2019,HORTA-GUINARDÓ,Horta,6
2019,HORTA-GUINARDÓ,Sant Genís dels Agudells,3
2019,HORTA-GUINARDÓ,el Baix Guinardó,106
2019,HORTA-GUINARDÓ,el Carmel,33
2019,HORTA-GUINARDÓ,el Guinardó,70
2019,HORTA-GUINARDÓ,la Font d'en Fargues,4
2019,HORTA-GUINARDÓ,la Teixonera,9
2019,HORTA-GUINARDÓ,la Vall d'Hebron,1
2019,L'EIXAMPLE,Sant Antoni,586
2019,L'EIXAMPLE,el Fort Pienc,332
2019,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,710
2019,L'EIXAMPLE,la Dreta de l'Eixample,1660
2019,L'EIXAMPLE,la Nova Esquerra de l'Eixample,413
2019,L'EIXAMPLE,la Sagrada Família,768
2019,LES CORTS,Pedralbes,11
2019,LES CORTS,la Maternitat i Sant Ramon,46
2019,LES CORTS,les Corts,208
2019,NOU BARRIS,Canyelles,1
2019,NOU BARRIS,Porta,10
2019,NOU BARRIS,Verdun,3
2019,NOU BARRIS,Vilapicina i la Torre Llobeta,9
2019,NOU BARRIS,la Guineueta,1
2019,NOU BARRIS,la Prosperitat,3
2019,NOU BARRIS,les Roquetes,2
2019,SANT ANDREU,Navas,17
2019,SANT ANDREU,Sant Andreu,28
2019,SANT ANDREU,el Bon Pastor,1
2019,SANT ANDREU,el Congrés i els Indians,6
2019,SANT ANDREU,la Sagrera,22
2019,SANT ANDREU,la Trinitat Vella,4
2019,SANT MARTI,Diagonal Mar i el Front Marítim del Poblenou,128
2019,SANT MARTI,Provençals del Poblenou,34
2019,SANT MARTI,Sant Martí de Provençals,15
2019,SANT MARTI,el Besòs i el Maresme,32
2019,SANT MARTI,el Camp de l'Arpa del Clot,266
2019,SANT MARTI,el Clot,50
2019,SANT MARTI,el Parc i la Llacuna del Poblenou,101
2019,SANT MARTI,el Poblenou,389
2019,SANT MARTI,la Verneda i la Pau,9
2019,SANT MARTI,la Vila Olímpica del Poblenou,108
2019,SANTS-MONTJUÏC,Hostafrancs,177
2019,SANTS-MONTJUÏC,Sants,245
