Nom_Barri,Any,preu_m2
el Raval,2014,10.47
el Barri Gòtic,2014,10.54
la Barceloneta,2014,15.15
"Sant Pere, Santa Caterina i la Ribera",2014,11.24
el Fort Pienc,2014,9.98
la Sagrada Família,2014,10.46
la Dreta de l'Eixample,2014,10.06
l'Antiga Esquerra de l'Eixample,2014,10.48
la Nova Esquerra de l'Eixample,2014,10.42
Sant Antoni,2014,10.01
el Poble-sec,2014,10.19
la Marina del Prat Vermell,2014,6.61
la Marina de Port,2014,7.99
la Font de la Guatlla,2014,10.62
Hostafrancs,2014,10.27
la Bordeta,2014,9.31
Sants - Badal,2014,9.94
Sants,2014,10.07
les Corts,2014,11.07
la Maternitat i Sant Ramon,2014,10.38
Pedralbes,2014,12.33
"Vallvidrera, el Tibidabo i les Planes",2014,10.6
Sarrià,2014,13.59
les Tres Torres,2014,13.52
Sant Gervasi - la Bonanova,2014,11.55
Sant Gervasi - Galvany,2014,11.69
el Putxet i el Farró,2014,11.01
Vallcarca i els Penitents,2014,10.26
el Coll,2014,9.52
la Salut,2014,9.97
la Vila de Gràcia,2014,11.25
el Camp d'en Grassot i Gràcia Nova,2014,10.36
el Baix Guinardó,2014,9.56
Can Baró,2014,9.42
el Guinardó,2014,9.18
la Font d'en Fargues,2014,9.26
el Carmel,2014,8.63
la Teixonera,2014,8.35
Sant Genís dels Agudells,2014,7.75
Montbau,2014,9.27
la Vall d'Hebron,2014,9.95
la Clota,2014,10.45
Horta,2014,8.94
Vilapicina i la Torre Llobeta,2014,8.8
Porta,2014,8.64
el Turó de la Peira,2014,7.81
Can Peguera,2014,5.29
la Guineueta,2014,8.21
Canyelles,2014,6.98
les Roquetes,2014,8.33
Verdun,2014,9.22
la Prosperitat,2014,8.9
la Trinitat Nova,2014,8.54
Torre Baró,2014,5.92
Ciutat Meridiana,2014,6.38
Vallbona,2014,4.25
la Trinitat Vella,2014,6.98
Baró de Viver,2014,3.92
el Bon Pastor,2014,8.05
Sant Andreu,2014,9.19
la Sagrera,2014,9.05
el Congrés i els Indians,2014,9.24
Navas,2014,8.91
el Camp de l'Arpa del Clot,2014,9.74
el Clot,2014,9.63
el Parc i la Llacuna del Poblenou,2014,10.24
la Vila Olímpica del Poblenou,2014,13.18
el Poblenou,2014,10.57
Diagonal Mar i el Front Marítim del Poblenou,2014,11.18
el Besòs i el Maresme,2014,7.74
Provençals del Poblenou,2014,9.67
Sant Martí de Provençals,2014,8.88
la Verneda i la Pau,2014,8.32
el Raval,2015,11.1
el Barri Gòtic,2015,11.21
la Barceloneta,2015,16.33
"Sant Pere, Santa Caterina i la Ribera",2015,12.7
el Fort Pienc,2015,10.89
la Sagrada Família,2015,11.11
la Dreta de l'Eixample,2015,11.29
l'Antiga Esquerra de l'Eixample,2015,11.37
la Nova Esquerra de l'Eixample,2015,11.27
Sant Antoni,2015,10.96
el Poble-sec,2015,11.09
la Marina del Prat Vermell,2015,6.61
la Marina de Port,2015,8.36
la Font de la Guatlla,2015,11.33
Hostafrancs,2015,11.12
la Bordeta,2015,9.84
Sants - Badal,2015,10.74
Sants,2015,10.99
les Corts,2015,11.85
la Maternitat i Sant Ramon,2015,11.42
Pedralbes,2015,14.15
"Vallvidrera, el Tibidabo i les Planes",2015,12.1
Sarrià,2015,14.54
les Tres Torres,2015,13.97
Sant Gervasi - la Bonanova,2015,12.82
Sant Gervasi - Galvany,2015,12.73
el Putxet i el Farró,2015,12.33
Vallcarca i els Penitents,2015,11.55
el Coll,2015,9.9
la Salut,2015,11.28
la Vila de Gràcia,2015,12.31
el Camp d'en Grassot i Gràcia Nova,2015,11.33
el Baix Guinardó,2015,10.57
Can Baró,2015,10.09
el Guinardó,2015,10.36
la Font d'en Fargues,2015,11.37
el Carmel,2015,9.11
la Teixonera,2015,9.51
Sant Genís dels Agudells,2015,8.32
Montbau,2015,10.07
la Vall d'Hebron,2015,10.07
la Clota,2015,7.97
Horta,2015,9.52
Vilapicina i la Torre Llobeta,2015,9.32
Porta,2015,9.1
el Turó de la Peira,2015,8.34
Can Peguera,2015,5.79
la Guineueta,2015,8.17
Canyelles,2015,7.21
les Roquetes,2015,8.72
Verdun,2015,9.14
la Prosperitat,2015,9.63
la Trinitat Nova,2015,8.79
Torre Baró,2015,6.06
Ciutat Meridiana,2015,6.62
Vallbona,2015,6.66
la Trinitat Vella,2015,8.01
Baró de Viver,2015,4.78
el Bon Pastor,2015,8.82
Sant Andreu,2015,10.03
la Sagrera,2015,9.73
el Congrés i els Indians,2015,9.45
Navas,2015,9.73
el Camp de l'Arpa del Clot,2015,10.63
el Clot,2015,10.31
el Parc i la Llacuna del Poblenou,2015,11.49
la Vila Olímpica del Poblenou,2015,14.29
el Poblenou,2015,11.73
Diagonal Mar i el Front Marítim del Poblenou,2015,12.49
el Besòs i el Maresme,2015,8.38
Provençals del Poblenou,2015,9.96
Sant Martí de Provençals,2015,9.4
la Verneda i la Pau,2015,9.1
el Raval,2016,12.26
el Barri Gòtic,2016,13.04
la Barceloneta,2016,18.18
"Sant Pere, Santa Caterina i la Ribera",2016,14.09
el Fort Pienc,2016,11.76
la Sagrada Família,2016,12.2
la Dreta de l'Eixample,2016,12.86
l'Antiga Esquerra de l'Eixample,2016,12.73
la Nova Esquerra de l'Eixample,2016,12.37
Sant Antoni,2016,12.08
el Poble-sec,2016,12.28
la Marina del Prat Vermell,2016,5.87
la Marina de Port,2016,8.87
la Font de la Guatlla,2016,12.05
Hostafrancs,2016,12.16
la Bordeta,2016,10.82
Sants - Badal,2016,11.75
Sants,2016,11.89
les Corts,2016,13.04
la Maternitat i Sant Ramon,2016,12.91
Pedralbes,2016,14.65
"Vallvidrera, el Tibidabo i les Planes",2016,15.08
Sarrià,2016,15.94
les Tres Torres,2016,15.64
Sant Gervasi - la Bonanova,2016,14.22
Sant Gervasi - Galvany,2016,13.78
el Putxet i el Farró,2016,13.73
Vallcarca i els Penitents,2016,12.65
el Coll,2016,11.23
la Salut,2016,12.11
la Vila de Gràcia,2016,13.5
el Camp d'en Grassot i Gràcia Nova,2016,12.48
el Baix Guinardó,2016,11.43
Can Baró,2016,11.5
el Guinardó,2016,11.14
la Font d'en Fargues,2016,11.89
el Carmel,2016,9.82
la Teixonera,2016,10.18
Sant Genís dels Agudells,2016,8.73
Montbau,2016,10.29
la Vall d'Hebron,2016,11.23
la Clota,2016,12.32
Horta,2016,10.6
Vilapicina i la Torre Llobeta,2016,10.49
Porta,2016,10.05
el Turó de la Peira,2016,9.45
Can Peguera,2016,8.07
la Guineueta,2016,8.78
Canyelles,2016,8.04
les Roquetes,2016,9.36
Verdun,2016,10.1
la Prosperitat,2016,10.3
la Trinitat Nova,2016,8.6
Torre Baró,2016,7.39
Ciutat Meridiana,2016,6.97
Vallbona,2016,7.9
la Trinitat Vella,2016,8.51
Baró de Viver,2016,3.52
el Bon Pastor,2016,8.71
Sant Andreu,2016,10.9
la Sagrera,2016,10.49
el Congrés i els Indians,2016,10.39
Navas,2016,10.81
el Camp de l'Arpa del Clot,2016,11.71
el Clot,2016,11.19
el Parc i la Llacuna del Poblenou,2016,12.79
la Vila Olímpica del Poblenou,2016,16.21
el Poblenou,2016,12.79
Diagonal Mar i el Front Marítim del Poblenou,2016,13.87
el Besòs i el Maresme,2016,8.77
Provençals del Poblenou,2016,11.78
Sant Martí de Provençals,2016,9.97
la Verneda i la Pau,2016,9.11
el Raval,2017,13.92
el Barri Gòtic,2017,14.19
la Barceloneta,2017,19.84
"Sant Pere, Santa Caterina i la Ribera",2017,15.71
el Fort Pienc,2017,13.11
la Sagrada Família,2017,13.35
la Dreta de l'Eixample,2017,13.54
l'Antiga Esquerra de l'Eixample,2017,13.73
la Nova Esquerra de l'Eixample,2017,13.55
Sant Antoni,2017,13.02
el Poble-sec,2017,13.69
la Marina del Prat Vermell,2017,6.28
la Marina de Port,2017,10.36
la Font de la Guatlla,2017,13.03
Hostafrancs,2017,12.91
la Bordeta,2017,11.94
Sants - Badal,2017,13.15
Sants,2017,13.18
les Corts,2017,14.33
la Maternitat i Sant Ramon,2017,13.37
Pedralbes,2017,16.21
"Vallvidrera, el Tibidabo i les Planes",2017,16.58
Sarrià,2017,17.51
les Tres Torres,2017,16.88
Sant Gervasi - la Bonanova,2017,15.38
Sant Gervasi - Galvany,2017,14.61
el Putxet i el Farró,2017,14.88
Vallcarca i els Penitents,2017,14.11
el Coll,2017,12.45
la Salut,2017,12.34
la Vila de Gràcia,2017,15.01
el Camp d'en Grassot i Gràcia Nova,2017,13.57
el Baix Guinardó,2017,12.59
Can Baró,2017,12.42
el Guinardó,2017,12.28
la Font d'en Fargues,2017,13.11
el Carmel,2017,11.01
la Teixonera,2017,11.18
Sant Genís dels Agudells,2017,9.52
Montbau,2017,12.52
la Vall d'Hebron,2017,12.16
la Clota,2017,15.07
Horta,2017,11.65
Vilapicina i la Torre Llobeta,2017,11.37
Porta,2017,10.8
el Turó de la Peira,2017,10.59
Can Peguera,2017,11.18
la Guineueta,2017,9.38
Canyelles,2017,8.6
les Roquetes,2017,10.17
Verdun,2017,11.09
la Prosperitat,2017,11.26
la Trinitat Nova,2017,10.65
Torre Baró,2017,6.78
Ciutat Meridiana,2017,7.59
Vallbona,2017,6.05
la Trinitat Vella,2017,9.16
Baró de Viver,2017,6.21
el Bon Pastor,2017,9.52
Sant Andreu,2017,12.33
la Sagrera,2017,10.84
el Congrés i els Indians,2017,11.37
Navas,2017,11.47
el Camp de l'Arpa del Clot,2017,12.95
el Clot,2017,12.45
el Parc i la Llacuna del Poblenou,2017,13.76
la Vila Olímpica del Poblenou,2017,17.13
el Poblenou,2017,13.97
Diagonal Mar i el Front Marítim del Poblenou,2017,16.03
el Besòs i el Maresme,2017,10.03
Provençals del Poblenou,2017,12.94
Sant Martí de Provençals,2017,10.9
la Verneda i la Pau,2017,10.16
el Raval,2018,14.02
el Barri Gòtic,2018,13.8
la Barceloneta,2018,16.88
"Sant Pere, Santa Caterina i la Ribera",2018,15.02
el Fort Pienc,2018,13.13
la Sagrada Família,2018,13.71
la Dreta de l'Eixample,2018,13.96
l'Antiga Esquerra de l'Eixample,2018,14.05
la Nova Esquerra de l'Eixample,2018,13.92
Sant Antoni,2018,13.17
el Poble-sec,2018,13.85
la Marina del Prat Vermell,2018,6.6899999999999995
la Marina de Port,2018,10.58
la Font de la Guatlla,2018,12.37
Hostafrancs,2018,13.54
la Bordeta,2018,12.15
Sants - Badal,2018,13.04
Sants,2018,13.15
les Corts,2018,14.84
la Maternitat i Sant Ramon,2018,13.59
Pedralbes,2018,15.35
"Vallvidrera, el Tibidabo i les Planes",2018,11.93
Sarrià,2018,17.25
les Tres Torres,2018,16.43
Sant Gervasi - la Bonanova,2018,16.1
Sant Gervasi - Galvany,2018,14.79
el Putxet i el Farró,2018,14.62
Vallcarca i els Penitents,2018,13.61
el Coll,2018,12.17
la Salut,2018,12.84
