Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,total_habitatges,n_fisica,n_juridica,n_public,n_comunitat,n_altres,n_no_consta,pct_fisica,pct_juridica,pct_public,pct_comunitat,pct_altres,pct_no_consta
2018,1,Ciutat Vella,1,el Raval,23112,15824,4874,1770,0,80,564,0.6846659743856005,0.21088611976462443,0.07658359293873312,0,0.003461405330564209,0.024402907580477674
2018,1,Ciutat Vella,2,el Barri Gòtic,10332,6871,2926,270,0,87,178,0.6650212930700735,0.28319783197831977,0.02613240418118467,0,0.008420441347270616,0.017228029423151374
2018,1,Ciutat Vella,3,la Barceloneta,9160,7182,1465,357,0,11,145,0.784061135371179,0.15993449781659388,0.03897379912663756,0,0.001200873362445415,0.015829694323144104
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",14439,10198,3049,894,0,65,233,0.706281598448646,0.21116420804764874,0.06191564512777893,0,0.004501696793406746,0.016136851582519565
2018,2,Eixample,5,el Fort Pienc,15135,11993,2686,35,0,48,373,0.792401717872481,0.17746944169144369,0.0023125206475057814,0,0.0031714568880079285,0.02464486290056161
2018,2,Eixample,6,la Sagrada Família,26509,22636,3303,51,0,22,497,0.8538986759213852,0.12459919272699838,0.001923874910407786,0,8.299068240974763e-4,0.01874834961711117
2018,2,Eixample,7,la Dreta de l'Eixample,25214,18329,6199,53,0,107,526,0.7269374157214246,0.245855477115888,0.0021020068216070437,0,0.004243674149282145,0.020861426191798208
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,23441,18439,4359,11,0,118,514,0.7866131990956017,0.1859562305362399,4.692632566870014e-4,0,0.005033914935369651,0.021927392176101703
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,29721,25390,3678,73,0,49,531,0.854278119847919,0.12375088321388916,0.0024561757679755053,0,0.001648665926449312,0.017866155243767032
2018,2,Eixample,10,Sant Antoni,19484,16351,2492,97,0,18,526,0.839201396017245,0.1278998152330117,0.004978443851365223,0,9.238349414904537e-4,0.026996509956887703
2018,3,Sants-Montjuïc,11,el Poble-sec,18520,15730,2113,320,0,38,319,0.8493520518358532,0.11409287257019439,0.017278617710583154,0,0.0020518358531317494,0.017224622030237582
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,776,491,166,109,0,2,8,0.6327319587628866,0.21391752577319587,0.1404639175257732,0,0.002577319587628866,0.010309278350515464
2018,3,Sants-Montjuïc,13,la Marina de Port,13315,11679,608,854,0,23,151,0.8771310552009013,0.04566278633120541,0.06413819001126549,0,0.0017273751408186256,0.011340593315809238
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,4909,4514,302,14,0,5,74,0.9195355469545732,0.06151965777144021,0.002851904664901202,0,0.001018537380321858,0.015074353228763496
2018,3,Sants-Montjuïc,15,Hostafrancs,8005,6801,1018,28,0,6,152,0.8495940037476577,0.12717051842598376,0.0034978138663335416,0,7.495315427857589e-4,0.018988132417239227
2018,3,Sants-Montjuïc,16,la Bordeta,8838,8093,555,17,0,30,143,0.9157049106132609,0.06279701289884589,0.001923512106811496,0,0.0033944331296673455,0.016180131251414348
2018,3,Sants-Montjuïc,17,Sants - Badal,11718,10612,850,25,0,20,211,0.9056152927120669,0.07253797576378221,0.002133469875405359,0,0.0017067759003242873,0.018006485748421234
2018,3,Sants-Montjuïc,18,Sants,20987,18286,2258,52,0,16,375,0.8713012817458426,0.1075904131128794,0.0024777243055224664,0,7.623767093915281e-4,0.01786820412636394
2018,4,Les Corts,19,les Corts,23062,20207,2267,128,0,21,439,0.8762032781198509,0.09830023415141792,0.005550255832104761,0,9.105888474546874e-4,0.019035643049171797
2018,4,Les Corts,20,la Maternitat i Sant Ramon,11652,10289,1013,138,0,5,207,0.8830243734981119,0.08693786474424992,0.01184346035015448,0,4.291108822519739e-4,0.01776519052523172
2018,4,Les Corts,21,Pedralbes,6102,4690,1217,84,0,16,95,0.7686004588659456,0.1994428056374959,0.01376597836774828,0,0.002622091117666339,0.015568666011143888
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",3034,2714,264,10,0,4,42,0.8945286750164799,0.08701384311140409,0.0032959789057350032,0,0.0013183915622940012,0.013843111404087014
2018,5,Sarrià-Sant Gervasi,23,Sarrià,12609,10498,1761,48,0,40,262,0.8325799032437148,0.13966214608612895,0.0038068046633357128,0,0.003172337219446427,0.0207788087873741
