Any,Codi_Barri,pob_regio_rica,Nom_Barri,poblacio_total,pct_regio_rica
2015,1,2310,el Raval,46843,0.049313664795166835
2015,2,1815,el Barri Gòtic,15333,0.11837213852475054
2015,3,1103,la Barceloneta,14944,0.07380888650963598
2015,4,2447,"Sant Pere, Santa Caterina i la Ribera",22324,0.10961297258555815
2015,5,1179,el Fort Pienc,31473,0.037460680583357164
2015,6,1360,la Sagrada Família,51013,0.026659871013271125
2015,7,2655,la Dreta de l'Eixample,43156,0.06152099360459728
2015,8,2017,l'Antiga Esquerra de l'Eixample,41483,0.048622327218378614
2015,9,1592,la Nova Esquerra de l'Eixample,57523,0.02767588616727222
2015,10,1395,Sant Antoni,37921,0.03678700456211598
2015,11,1610,el Poble-sec,40119,0.040130611430992794
2015,12,12,la Marina del Prat Vermell,946,0.012684989429175475
2015,13,229,la Marina de Port,30160,0.0075928381962864725
2015,14,281,la Font de la Guatlla,10356,0.027134028582464272
2015,15,426,Hostafrancs,15723,0.027094066017935507
2015,16,259,la Bordeta,18353,0.01411213425597995
2015,17,353,Sants - Badal,23978,0.014721828342647427
2015,18,923,Sants,40560,0.022756410256410255
2015,19,931,les Corts,45659,0.02039028450031757
2015,20,411,la Maternitat i Sant Ramon,23731,0.01731911845265686
2015,21,700,Pedralbes,11620,0.060240963855421686
2015,22,299,"Vallvidrera, el Tibidabo i les Planes",4445,0.06726659167604049
2015,23,1310,Sarrià,24470,0.05353494074376788
2015,24,787,les Tres Torres,16407,0.04796733101724873
2015,25,846,Sant Gervasi - la Bonanova,25260,0.0334916864608076
2015,26,1788,Sant Gervasi - Galvany,46557,0.038404536374766415
2015,27,1047,el Putxet i el Farró,28968,0.036143330571665286
2015,28,536,Vallcarca i els Penitents,15379,0.03485272124325379
2015,29,212,el Coll,7332,0.028914348063284235
2015,30,380,la Salut,13184,0.028822815533980584
2015,31,2673,la Vila de Gràcia,50172,0.053276728055489116
2015,32,986,el Camp d'en Grassot i Gràcia Nova,33842,0.029135393889250044
2015,33,477,el Baix Guinardó,25423,0.018762537859418636
2015,34,182,Can Baró,8793,0.020698282724894802
2015,35,660,el Guinardó,35659,0.018508651392355364
2015,36,147,la Font d'en Fargues,9336,0.015745501285347043
2015,37,318,el Carmel,31362,0.010139659460493592
2015,38,116,la Teixonera,11340,0.010229276895943563
2015,39,78,Sant Genís dels Agudells,6699,0.011643528884908196
2015,40,49,Montbau,5012,0.009776536312849162
2015,41,52,la Vall d'Hebron,5443,0.009553555024802499
2015,42,0,la Clota,246,0
2015,43,305,Horta,26417,0.011545595639171746
2015,44,239,Vilapicina i la Torre Llobeta,25256,0.009463097877732024
2015,45,214,Porta,24229,0.008832390936481076
2015,46,115,el Turó de la Peira,15286,0.007523223864974487
2015,47,5,Can Peguera,2239,0.0022331397945511387
2015,48,112,la Guineueta,15069,0.007432477271219059
2015,49,33,Canyelles,6938,0.004756413952147593
2015,50,100,les Roquetes,15342,0.0065180550123843045
2015,51,89,Verdun,12171,0.0073124640538986116
2015,52,198,la Prosperitat,25897,0.007645673244005097
2015,53,56,la Trinitat Nova,7314,0.0076565490839485915
2015,54,7,Torre Baró,2695,0.0025974025974025974
2015,55,45,Ciutat Meridiana,10218,0.004403992953611274
2015,56,11,Vallbona,1202,0.009151414309484194
2015,57,69,la Trinitat Vella,10039,0.006873194541288973
2015,58,14,Baró de Viver,2448,0.005718954248366013
2015,59,87,el Bon Pastor,12486,0.006967803940413263
2015,60,552,Sant Andreu,56321,0.009800962340867527
2015,61,293,la Sagrera,28796,0.010175024308931796
2015,62,168,el Congrés i els Indians,13995,0.012004287245444802
2015,63,257,Navas,21922,0.011723382903019797
2015,64,756,el Camp de l'Arpa del Clot,38102,0.01984147813763057
2015,65,474,el Clot,26870,0.017640491254186826
2015,66,609,el Parc i la Llacuna del Poblenou,14646,0.04158131913150348
2015,67,572,la Vila Olímpica del Poblenou,9231,0.0619651175387282
2015,68,1418,el Poblenou,33358,0.04250854367767852
2015,69,543,Diagonal Mar i el Front Marítim del Poblenou,13230,0.041043083900226755
2015,70,191,el Besòs i el Maresme,22698,0.008414838311745528
2015,71,362,Provençals del Poblenou,20074,0.018033276875560427
2015,72,204,Sant Martí de Provençals,25881,0.00788223020748812
2015,73,213,la Verneda i la Pau,28619,0.007442608057584122
2016,1,2437,el Raval,46871,0.05199377013505153
2016,2,1896,el Barri Gòtic,15560,0.12185089974293059
2016,3,1154,la Barceloneta,14954,0.0771699879630868
2016,4,2448,"Sant Pere, Santa Caterina i la Ribera",22269,0.10992860029637613
2016,5,1243,el Fort Pienc,31637,0.03928943958023833
2016,6,1413,la Sagrada Família,51260,0.02756535310183379
2016,7,2771,la Dreta de l'Eixample,43282,0.06402199528672427
2016,8,2051,l'Antiga Esquerra de l'Eixample,41718,0.04916343065343497
2016,9,1605,la Nova Esquerra de l'Eixample,57559,0.027884431626678714
2016,10,1427,Sant Antoni,38129,0.037425581578326206
2016,11,1694,el Poble-sec,40023,0.04232566274392224
2016,12,13,la Marina del Prat Vermell,966,0.013457556935817806
2016,13,243,la Marina de Port,30302,0.00801927265527028
2016,14,256,la Font de la Guatlla,10305,0.024842309558466762
2016,15,444,Hostafrancs,15886,0.02794913760543875
2016,16,274,la Bordeta,18470,0.014834867352463454
2016,17,395,Sants - Badal,23903,0.01652512236957704
2016,18,909,Sants,40699,0.022334701098307083
2016,19,930,les Corts,45677,0.020360356415701556
2016,20,397,la Maternitat i Sant Ramon,23792,0.016686281102891727
2016,21,729,Pedralbes,11779,0.061889803888275745
2016,22,297,"Vallvidrera, el Tibidabo i les Planes",4486,0.06620597414177441
2016,23,1279,Sarrià,24651,0.05188430489635309
2016,24,574,les Tres Torres,16388,0.03502562850866488
2016,25,862,Sant Gervasi - la Bonanova,25668,0.03358267103007636
2016,26,1861,Sant Gervasi - Galvany,47014,0.03958395371591441
2016,27,1069,el Putxet i el Farró,29261,0.036533269539660296
2016,28,547,Vallcarca i els Penitents,15491,0.0353108256406946
2016,29,208,el Coll,7361,0.0282570302947969
2016,30,351,la Salut,13075,0.02684512428298279
2016,31,2835,la Vila de Gràcia,50388,0.05626339604667778
