Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,renda_mitjana,renda_mediana
2015,1,Ciutat Vella,1,el Raval,8507.809523809523,8376
2015,1,Ciutat Vella,2,el Barri Gòtic,11447.444444444445,10935
2015,1,Ciutat Vella,3,la Barceloneta,10818.818181818182,10350
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11689,11114
2015,2,L'Eixample,5,el Fort Pienc,15441.5,15786
2015,2,L'Eixample,6,la Sagrada Família,15354.29411764706,15313
2015,2,L'Eixample,7,la Dreta de l'Eixample,19841.55172413793,19421
2015,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,18175.53846153846,18327.5
2015,2,L'Eixample,9,la Nova Esquerra de l'Eixample,17153.725,16930.5
2015,2,L'Eixample,10,Sant Antoni,15087.416666666666,15157.5
2015,3,Sants-Montjuïc,11,el Poble-sec,11037.541666666666,10843.5
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,9003,9003
2015,3,Sants-Montjuïc,13,la Marina de Port,11453.470588235294,11809
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,13976.857142857143,13296
2015,3,Sants-Montjuïc,15,Hostafrancs,13370,13642
2015,3,Sants-Montjuïc,16,la Bordeta,13377.76923076923,13376
2015,3,Sants-Montjuïc,17,Sants - Badal,13373.375,13035.5
2015,3,Sants-Montjuïc,18,Sants,14615.551724137931,14117
2015,4,Les Corts,19,les Corts,19300.314285714285,19352
2015,4,Les Corts,20,la Maternitat i Sant Ramon,17443.533333333333,16927
2015,4,Les Corts,21,Pedralbes,25964.571428571428,28315
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",17615,18708
2015,5,Sarrià-Sant Gervasi,23,Sarrià,22779.6875,22086.5
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,26779.090909090908,28350
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,23171.166666666668,22463
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,24058.483870967742,23267
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,19320.526315789473,19101
2015,6,Gràcia,28,Vallcarca i els Penitents,18361.454545454544,17113
2015,6,Gràcia,29,el Coll,13610.8,12866
2015,6,Gràcia,30,la Salut,16934.6,16581.5
2015,6,Gràcia,31,la Vila de Gràcia,15359.416666666666,15018
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,16730.04,16531
2015,7,Horta-Guinardó,33,el Baix Guinardó,14797.21052631579,14572
2015,7,Horta-Guinardó,34,Can Baró,13580.285714285714,13395
2015,7,Horta-Guinardó,35,el Guinardó,14323.76,14191
2015,7,Horta-Guinardó,36,la Font d'en Fargues,16739.14285714286,15960
2015,7,Horta-Guinardó,37,el Carmel,10449,10431
2015,7,Horta-Guinardó,38,la Teixonera,11579.75,11628
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,12743.2,12873
2015,7,Horta-Guinardó,40,Montbau,13898.5,14162.5
2015,7,Horta-Guinardó,41,la Vall d'Hebron,15272.5,14708
2015,7,Horta-Guinardó,42,la Clota,12247,12247
2015,7,Horta-Guinardó,43,Horta,13883.047619047618,13868
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,13364.736842105263,13168
2015,8,Nou Barris,45,Porta,12098.833333333334,11877.5
2015,8,Nou Barris,46,el Turó de la Peira,10171.8,10139
2015,8,Nou Barris,47,Can Peguera,8950.5,8950.5
2015,8,Nou Barris,48,la Guineueta,13310.90909090909,13439
2015,8,Nou Barris,49,Canyelles,12632.4,12315
2015,8,Nou Barris,50,les Roquetes,9125,8970.5
2015,8,Nou Barris,51,Verdun,9859.5,9908
2015,8,Nou Barris,52,la Prosperitat,11023.45,10898.5
2015,8,Nou Barris,53,la Trinitat Nova,8337.2,8282
2015,8,Nou Barris,54,Torre Baró,7620.5,7620.5
2015,8,Nou Barris,55,Ciutat Meridiana,7694.333333333333,7846
2015,8,Nou Barris,56,Vallbona,8238,8238
2015,9,Sant Andreu,57,la Trinitat Vella,8606.8,8057
2015,9,Sant Andreu,58,Baró de Viver,8036.5,8036.5
2015,9,Sant Andreu,59,el Bon Pastor,10603,9924
2015,9,Sant Andreu,60,Sant Andreu,14494.538461538461,14615
2015,9,Sant Andreu,61,la Sagrera,13587.65,13627.5
2015,9,Sant Andreu,62,el Congrés i els Indians,13508,13384
2015,9,Sant Andreu,63,Navas,13758,13626
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,14214.36,14083
2015,10,Sant Martí,65,el Clot,13820.764705882353,13608
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14729.111111111111,15569
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,21652,22970
2015,10,Sant Martí,68,el Poblenou,14480.4,14743
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,16139.57142857143,16521
2015,10,Sant Martí,70,el Besòs i el Maresme,9490,8627
2015,10,Sant Martí,71,Provençals del Poblenou,12927.5,12696.5
2015,10,Sant Martí,72,Sant Martí de Provençals,12881.166666666666,12159.5
2015,10,Sant Martí,73,la Verneda i la Pau,11856.095238095239,12007
2016,1,Ciutat Vella,1,el Raval,8738.095238095239,8357
2016,1,Ciutat Vella,2,el Barri Gòtic,11623,11116
2016,1,Ciutat Vella,3,la Barceloneta,11082.727272727272,10872
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",12159.692307692309,11835
2016,2,L'Eixample,5,el Fort Pienc,15760.75,16083.5
2016,2,L'Eixample,6,la Sagrada Família,15648.823529411764,15579
2016,2,L'Eixample,7,la Dreta de l'Eixample,20600.206896551725,20292
2016,2,L'Eixample,8,l'Antiga Esquerra de l'Eixample,18557.53846153846,18242.5
2016,2,L'Eixample,9,la Nova Esquerra de l'Eixample,17517.7,17225
2016,2,L'Eixample,10,Sant Antoni,15527.333333333334,15271
2016,3,Sants-Montjuïc,11,el Poble-sec,11312.5,11176.5
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,9411,9411
2016,3,Sants-Montjuïc,13,la Marina de Port,11746.117647058823,12225
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,14216.285714285714,13903
2016,3,Sants-Montjuïc,15,Hostafrancs,13706.2,14021
2016,3,Sants-Montjuïc,16,la Bordeta,13751,13416
2016,3,Sants-Montjuïc,17,Sants - Badal,13390.875,13246.5
2016,3,Sants-Montjuïc,18,Sants,14975.758620689656,14347
2016,4,Les Corts,19,les Corts,19989.085714285713,19735
2016,4,Les Corts,20,la Maternitat i Sant Ramon,18042.666666666668,17434
2016,4,Les Corts,21,Pedralbes,26720.285714285714,29364
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",19151,21524
